Name
PORTAL SOFTWARE INC
COMPS COM INC
MAPQUEST COM INC
PRICELINE GROUP INC.
MARIMBA INC
APPLIEDTHEORY CORP
HEARME
INFORMATICA CORP
RAZORFISH INC
LAUNCH MEDIA INC
COMPUCREDIT CORP
LOG ON AMERICA INC
AREMISSOFT CORP /DE/
PROXICOM INC
WORLDGATE COMMUNICATIONS INC
S WIND-UP CORP
MIH LTD
USINTERNETWORKING INC
EXTREME NETWORKS INC
DELIA S CORP
RHYTHMS NET CONNECTIONS INC
TRANSCOASTAL CORP
VALUE AMERICA INC /VA
PLX TECHNOLOGY INC
MKS INSTRUMENTS INC
CRITICAL PATH INC
AUTOBYTEL INC
TUMBLEWEED INC
ONEMAIN COM INC
"ABOUT, INC."
IVILLAGE INC
CHEAP TICKETS INC
MULTEX COM INC
FLASHNET COMMUNICATIONS INC
ROWECOM INC
NEON SYSTEMS INC
PCORDER COM INC
INTRAWARE INC
VIGNETTE CORP
WEBTRENDS CORP
UGC EUROPE INC
ONYX SOFTWARE CORP/WA
BOTTOMLINE TECHNOLOGIES INC /DE/
SERENA SOFTWARE INC
VERTICALNET INC
HLTH CORP
PRODIGY COMMUNICATIONS CORP
KORN FERRY INTERNATIONAL
CATAPULT COMMUNICATIONS CORP
VIALOG CORP
MODEM MEDIA INC
ECOMETRY CORP
COVAD COMMUNICATIONS GROUP INC
ALLAIRE CORP
NVIDIA CORP
MARKETWATCH MEDIA INC
AUDIO HIGHWAY-COM
ARTIFICIAL LIFE INC
CONCUR TECHNOLOGIES INC
"BLUCORA, INC."
ABOVENET COMMUNICATIONS INC
XOOM INC
EXCHANGE APPLICATIONS INC
INTERNET AMERICA INC
INFINITY BROADCASTING CORP /DE/
UBID INC
TICKETMASTER ENTERTAINMENT LLC
E TEK DYNAMICS INC
FATBRAIN COM INC
MUSE TECHNOLOGIES INC
THEGLOBE COM INC
DICE INC
NETWORK 1 TECHNOLOGIES INC
CURTIS INTERNATIONAL LTD
GALACTICOMM TECHNOLOGIES INC
EBAY INC
ENTRUST INC
24/7 REAL MEDIA INC
GLOBAL CROSSING LTD
PILOT NETWORK SERVICES INC
