,IPO name,Offer date,SIC,Ticker,Unit,Offer price,S1Link
265,Triton Network Systems Inc,20000712,3663,TNSI,1,15.0,
266,Sunrise Telecom Inc,20000712,3825,SRTI,1,15.0,
267,Divine Interventures Inc,20000711,7389,DVIN,1,9.0,
268,Netease.com Inc,20000630,7375,NTES,1,15.5,
269,Storagenetworks Inc,20000629,7389,STOR,1,27.0,
270,Virage Inc,20000628,7372,VRGE,1,11.0,
271,CareScience Inc,20000628,7374,CARE,1,12.0,
272,BusyBox.com Inc,20000627,3861,BUSY,1,5.0,
273,Genuity Inc,20000627,7371,GENU,1,11.0,
274,Click Commerce Inc,20000626,7371,CKCM,1,10.0,
275,Accelerated Networks Inc,20000622,3661,ACCL,1,15.0,
276,Echapman.com Inc,20000615,7375,ECMN,1,13.0,
277,Rediff.com India Ltd,20000613,7375,REDF,1,12.0,
278,Take To Auction.com Inc,20000612,7389,TTA,1,8.0,
279,Exult Inc,20000602,8742,EXLT,1,10.0,
280,CrossWorlds Software Inc,20000601,7372,CWLD,1,10.0,
281,ONI Systems Corp,20000531,3661,ONIS,1,25.0,
282,Sonus Networks Inc,20000524,7372,SONS,1,23.0,
283,Centillium Communications Inc,20000523,3661,CTLM,1,19.0,
284,coolsavings.com inc,20000519,7379,CSAV,1,7.0,
285,iBeam Broadcasting Corp,20000517,4841,IBEM,1,10.0,
286,Sequoia Software Corp,20000512,7372,SQSW,1,8.0,
287,WHEREVER.net Holdings Corp,20000502,4813,WNET,1,9.0,
288,Software Technologies Corp,20000427,7372,STCS,1,12.0,
289,PEC Solutions Inc,20000419,7379,PECS,1,9.5,
290,QS Communications AG,20000418,7375,QSCG,1,24.64,
291,Sina.com,20000412,7375,SINA,1,17.0,
292,Corillian Corp,20000412,7379,CORI,1,8.0,
293,Asiacontent.com Ltd,20000411,7374,IASIA,1,14.0,
294,HealthStream Inc,20000411,8299,HSTM,1,9.0,
295,Opus360 Corp,20000407,7389,OPUS,1,10.0,
